person,word,freq
blunt,the,51
blunt,you,43
blunt,to,32
blunt,that,24
blunt,of,17
blunt,a,14
blunt,said,12
blunt,on,11
blunt,president,10
blunt,i,9
blunt,in,9
blunt,had,8
blunt,was,8
blunt,your,8
blunt,and,7
blunt,be,6
blunt,have,5
blunt,him,5
blunt,is,5
blunt,not,5
blunt,or,5
blunt,so,5
blunt,what,5
blunt,with,5
blunt,as,4
blunt,been,4
blunt,did,4
blunt,don't,4
blunt,friend,4
blunt,he,4
blunt,information,4
blunt,it,4
blunt,me,4
blunt,want,4
blunt,30th,3
blunt,act,3
blunt,all,3
blunt,alone,3
blunt,attorney,3
blunt,believe,3
blunt,but,3
blunt,didn't,3
blunt,do,3
blunt,fbi,3
blunt,for,3
blunt,from,3
blunt,general,3
blunt,give,3
blunt,into,3
blunt,investigation,3
blunt,logan,3
blunt,march,3
blunt,no,3
blunt,out,3
blunt,phone,3
blunt,sense,3
blunt,still,3
blunt,there,3
blunt,things,3
blunt,time,3
blunt,up,3
blunt,were,3
blunt,about,2
blunt,action,2
blunt,after,2
blunt,any,2
blunt,are,2
blunt,at,2
blunt,chain,2
blunt,classified,2
blunt,command,2
blunt,continued,2
blunt,conversation,2
blunt,could,2
blunt,director,2
blunt,discussion,2
blunt,document,2
blunt,earlier,2
blunt,even,2
blunt,flynn,2
blunt,get,2
blunt,good,2
blunt,guy,2
blunt,hadn't,2
blunt,has,2
blunt,here,2
blunt,i'd,2
blunt,i'm,2
blunt,investigators,2
blunt,january,2
blunt,kind,2
blunt,like,2
blunt,made,2
blunt,media,2
blunt,memos,2
blunt,might,2
blunt,misleading,2
blunt,mr,2
blunt,one,2
blunt,other,2
blunt,over,2
blunt,point,2
blunt,responsibility,2
blunt,room,2
blunt,say,2
blunt,serious,2
blunt,service,2
blunt,some,2
blunt,something,2
blunt,taken,2
blunt,taking,2
blunt,talk,2
blunt,talking,2
blunt,target,2
blunt,terminated,2
blunt,these,2
blunt,this,2
blunt,those,2
blunt,thought,2
blunt,through,2
blunt,vice,2
blunt,why,2
blunt,would,2
blunt,years,2
blunt,yourself,2
blunt,14th,1
blunt,200,1
blunt,27th,1
blunt,3rd,1
blunt,account,1
blunt,again,1
blunt,also,1
blunt,always,1
blunt,ambassador,1
blunt,an,1
blunt,anything,1
blunt,appears,1
blunt,assuming,1
blunt,back,1
blunt,because,1
blunt,being,1
blunt,believed,1
blunt,books,1
blunt,by,1
blunt,call,1
blunt,calls,1
blunt,chairman,1
blunt,citizen,1
blunt,close,1
blunt,comey,1
blunt,committee,1
blunt,concern,1
blunt,concerns,1
blunt,consider,1
blunt,considered,1
blunt,continue,1
blunt,country,1
blunt,create,1
blunt,day,1
blunt,decisions,1
blunt,department,1
blunt,difference,1
blunt,directed,1
blunt,direction,1
blunt,discussed,1
blunt,dismissed,1
blunt,does,1
blunt,drop,1
blunt,else,1
blunt,essentially,1
blunt,ever,1
blunt,everybody,1
blunt,fail,1
blunt,february,1
blunt,feel,1
blunt,find,1
blunt,flynn's,1
blunt,follow,1
blunt,former,1
blunt,further,1
blunt,gave,1
blunt,going,1
blunt,government,1
blunt,great,1
blunt,happened,1
blunt,he's,1
blunt,his,1
blunt,if,1
blunt,impressions,1
blunt,incredible,1
blunt,interesting,1
blunt,issue,1
blunt,just,1
blunt,justice,1
blunt,last,1
blunt,later,1
blunt,learned,1
blunt,least,1
blunt,look,1
blunt,looking,1
blunt,may,1
blunt,mean,1
blunt,meeting,1
blunt,memo,1
blunt,mistake,1
blunt,more,1
blunt,my,1
blunt,need,1
blunt,next,1
blunt,nobody,1
blunt,now,1
blunt,occasions,1
blunt,opinion,1
blunt,opposed,1
blunt,others,1
blunt,own,1
blunt,party,1
blunt,period,1
blunt,personal,1
blunt,personally,1
blunt,pointed,1
blunt,previous,1
blunt,previously,1
blunt,private,1
blunt,problem,1
blunt,prosecuted,1
blunt,provided,1
blunt,public,1
blunt,question,1
blunt,questions,1
blunt,rather,1
blunt,reading,1
blunt,recorded,1
blunt,records,1
blunt,report,1
blunt,reported,1
blunt,retrospect,1
blunt,rubio,1
blunt,run,1
blunt,russian,1
blunt,saying,1
blunt,seem,1
blunt,seems,1
blunt,senator,1
blunt,share,1
blunt,show,1
blunt,significant,1
blunt,six,1
blunt,somebody,1
blunt,somehow,1
blunt,source,1
blunt,specifically,1
blunt,suggesting,1
blunt,take,1
blunt,telling,1
blunt,testimony,1
